SERMON_SLUG,CITATION_RAW,CITATION,BOOK_SLUG,CHAPTER,VERSE,API_URL
1599-fabricius-christliche-predigt-von,Johan: 17,John 17,john,17,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/john/chapters/17.json
1599-fabricius-christliche-predigt-von,Philipp. 2,Phil 2,philippians,2,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/philippians/chapters/2.json
1599-fabricius-christliche-predigt-von,Phil. 2,Phil 2,philippians,2,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/philippians/chapters/2.json
1599-fabricius-christliche-predigt-von,Ezech. 16,Ezek 16,ezekiel,16,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/ezekiel/chapters/16.json
1613-schilling-vier-predigten-von,Psal. 34,Ps 34,psalms,34,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/psalms/chapters/34.json
1613-schilling-vier-predigten-von,1. Sam. 12,1 Samuel 12,1samuel,12,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/1samuel/chapters/12.json
1613-schilling-vier-predigten-von,Apoc 6,Rev 6,revelation,6,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/revelation/chapters/6.json
1613-schilling-vier-predigten-von,Apoc.6,Rev 6,revelation,6,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/revelation/chapters/6.json
1613-schilling-vier-predigten-von,1. Thess. 9,1 Thess 9,1thessalonians,9,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/1thessalonians/chapters/9.json
1613-schilling-vier-predigten-von,Thren 8,Lam 8,lamentations,8,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/lamentations/chapters/8.json
1613-schilling-vier-predigten-von,91. Psalmen,Ps 91,psalms,91,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/psalms/chapters/91.json
1613-schilling-vier-predigten-von,Esa. 56,Isa 56,isaiah,56,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/isaiah/chapters/56.json
1613-schilling-vier-predigten-von,Psal. 30,Ps 30,psalms,30,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/psalms/chapters/30.json
