SLUG,BIBLE CITATION,BOOK_EN,CHAPTER,VERSE,URL
1589-alber-eine-summa-etlicher,Deut. 28,deuteronomy,28,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/deuteronomy/chapters/28/verses/1.json
1589-alber-eine-summa-etlicher,Psal. 18,psalms,18,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/psalms/chapters/18/verses/1.json
1589-alber-eine-summa-etlicher,Psal. 148,psalms,148,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/psalms/chapters/148/verses/1.json
1589-alber-eine-summa-etlicher,der 78. Psalm,psalms,78,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/psalms/chapters/78/verses/1.json
1589-alber-eine-summa-etlicher,Josue 10,joshua,10,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/joshua/chapters/10/verses/1.json
1589-alber-eine-summa-etlicher,Johan. 5,john,5,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/john/chapters/5/verses/1.json
1589-alber-eine-summa-etlicher,Matth 10,matthew,10,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/matthew/chapters/10/verses/1.json
1589-alber-eine-summa-etlicher,Psalm. 104,psalms,104,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/psalms/chapters/104/verses/1.json
1589-alber-eine-summa-etlicher,78. Psalm,psalms,78,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/psalms/chapters/78/verses/1.json
1589-alber-eine-summa-etlicher,Ephes. 2,ephesians,2,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/ephesians/chapters/2/verses/1.json
1589-alber-eine-summa-etlicher,Joh 38,john,38,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/john/chapters/38/verses/1.json
1589-alber-eine-summa-etlicher,Numer. 22,numbers,22,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/numbers/chapters/22/verses/1.json
1589-alber-eine-summa-etlicher,Reg. 22,1kings,22,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/1kings/chapters/22/verses/1.json
